recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t4x5qa2qxyek000s0p3aztae0,0.9105837999959476,0.11489114250615068,0.0005036334065114919,"[0.0005096042083180914, 1.4680839795104208, 1.482940843723989, 1.4960336395516232, 0.11547663615701653, 0.11766596548309705]",0.016087199028743837,9999.841174372046,9999.370246062237,19999.8159904257,10.001180414354577,0t4x5q9khsssx000604vsbw908
0t4x69vr31v2k000852jykd06m,0.9939333000220358,0.11659709740607133,0.0003089109679584692,"[0.0003152851452328633, 1.49389342516332, 1.498735379537901, 1.498492337227166, 0.12450553996176461, 0.11526145634489718]",0.03252367594512624,9999.675292370637,9999.82360241265,19999.76247674624,4499.207159559091,0t4x5q9khsssx000604vsbw908
0t4x6zxmbnx0h000m1adw5fe3w,0.8913276000530459,0.11883263445251693,0.00026660019185493133,"[0.0002666999965860932, 0.24438322651166544, 1.48958264672954, 0.18752434453266031, 1.4975344897337155, 0.11856468228259368]",0.008882471375581907,9999.869209416574,100.25820622201785,10.529498792138405,19.70842483261101,0t4x5q9khsssx000604vsbw908
0t4x76sx4dsrx0002n25nxj8t0,1.1162688999902457,0.06413159387779836,0.0014988159801891515,"[0.001975161329726329, 1.4996722676051795, 1.4960523838407302, 0.31781762307319966, 1.4992571258902012, 0.08632313040216479]",0.016771779610738276,100.00004852768721,9999.996688116247,10.002424692142036,9999.991819790694,0t4x5q9khsssx000604vsbw908
0t4x7nfh49x71000ymxkv7dd9g,1.1243452999624424,0.12380520063075061,0.0010803333874801096,"[0.001742933263662448, 1.4998412282066416, 1.4912850017512196, 0.3300246729810875, 1.4998793822558345, 0.08849870509395771]",0.008357111815313423,100.01809985889722,100.00017534184508,14417.436872814313,10.000672430409969,0t4x5q9khsssx000604vsbw908
0t4x7y3xx9tyk000a2kyv0d3k4,1.5477710999548435,0.09456673278181858,0.0016398293493389974,"[0.0018518839356840826, 1.499793138372878, 0.1392057075251505, 1.4995020009825675, 1.4998262464143475, 0.08670007272917821]",0.05217699737020287,9999.972776630508,3480.9884204492896,19999.99149383431,10.02297845302494,0t4x5q9khsssx000604vsbw908
0t4x8e4cpxyjv000k242mg3y6c,1.3985290999989957,0.09701708152633881,0.0012580223133764827,"[0.0016960559336872214, 1.4999419191100234, 0.14732921776525376, 1.4975787917435563, 1.4981293191997476, 0.08594615586139298]",0.06764604455542149,100.0101903528962,3317.562564440579,10.000348492274505,9999.995298683974,0t4x5q9khsssx000604vsbw908
0t4x8t8jfdt6z000r6bqzqvcsc,1.375777899986133,0.064969439981542,0.0010661724583804575,"[0.0015424698317292613, 1.4998961131591262, 0.15517659358570168, 1.4993073192672544, 1.4992844386941073, 0.0850110761141031]",0.03518396492292135,9999.996503532906,1207.0320583375592,19999.988928557752,9999.99866987519,0t4x5q9khsssx000604vsbw908
0t4x9h6ak9rn3000qthw0zdv88,1.3331958000198938,0.12846774611036343,0.0009318221733381901,"[0.0013809416662832873, 1.4994357433767136, 0.1422476298707761, 1.4999866489677265, 1.499405164732205, 0.087155709019079]",0.044353967964001775,9999.99604613971,7959.708046392646,10.002292530583727,10.008592078328867,0t4x5q9khsssx000604vsbw908
0t4x9v4v31tx5000n6fgedbxkc,1.272401499969419,0.1189920822246504,0.0008108017821461243,"[0.0013073835264999327, 1.4997657444646761, 0.14850786233480096, 1.4997640746271066, 1.4999949976510367, 0.08701574699924229]",0.045087027842870005,100.01076729034527,6008.733020414185,19999.998092159654,10.001036439010456,0t4x5q9khsssx000604vsbw908
