run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0t49dprknhsak000c3k693h2qg,2000,5,0,4914,0,50,75,50,0,25,100,TDMAT_Campaign0009_01_RNG,30,10,2000,1771,60,498,255,4914,10,0.48154,150,0.05211642857142857,0.06816923076923077,0.1392544,0.08058678441584088,3.3839056636474374,True,,0t49fgtahnrvv000294qhkf8jm
0t49dy39mny8k000ng6241k8mw,2000,5,0,4201,0,50,75,50,0,25,100,TDMAT_Campaign0009_01_RNG,30,10,2000,2805,60,748,2257,4201,10,4.015,150,0.1334417857142857,0.1347285714285714,0.13609200000000002,0.019488253919126022,6.420533948519905,True,,0t49fgtahnrvv000294qhkf8jm
0t49e65mbdz3v000n2g27rnp10,2000,5,0,1488,0,50,75,50,0,25,100,TDMAT_Campaign0009_01_RNG,30,10,2000,3507,60,3438,1171,1488,10,7.4857,150,0.06230500000000002,0.061114285714285774,0.060408000000000045,0.004450819690615003,3.153646658141619,True,,0t49fgtahnrvv000294qhkf8jm
0t49ed0xmxvaf000zf6x8d54dm,2000,5,0,225,0,50,75,50,0,25,100,TDMAT_Campaign0009_01_RNG,30,10,2000,3519,60,4445,3334,225,10,9.0064,150,0.11100464285714289,0.11095714285714285,0.11162400000000006,0.0009685882847249021,8.64244369726815,True,,0t49fgtahnrvv000294qhkf8jm
0t49em4gx1v1q00040qzs718p8,2000,5,0,1885,0,50,75,50,0,25,100,TDMAT_Campaign0009_01_RNG,30,10,2000,3029,60,1401,5848,1885,10,11.841,150,0.1591664285714286,0.16074285714285722,0.16108000000000003,0.01599820142952332,14.504230289667518,True,,0t49fgtahnrvv000294qhkf8jm
0t49fgtym9z2q000zg27sfdhv8,2000,5,0,3097,0,50,75,50,0,25,100,TDMAT_Campaign0009_01_RNG,30,10,2000,14,60,5952,1837,3097,10,15.87,150,0.09994571428571425,0.0999642857142857,0.1080400000000001,0.002105301859204271,8.177854658026677,False,0t49fgty89zc50009ygyrncqpw,0t49fgtahnrvv000294qhkf8jm
0t49frv5d9t6x0000wb3k294qm,2000,5,0,1056,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,12,60,2387,5598,1056,10,18.577,150,0.11984035714285719,0.12074285714285717,0.12059999999999987,0.006866452014345421,11.355886681096045,False,0t49frv529xck000qdx45jvdfr,0t49fgtahnrvv000294qhkf8jm
0t49fzagjnt8q0005f39b7qm88,2000,5,0,5998,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,23,60,5997,4429,5998,10,21.634,150,0.13714535714285706,0.13674999999999976,0.13188000000000002,0.004312067783724728,10.126660252236363,False,0t49fzaf5xzgb000p1jgb9vr78,0t49fgtahnrvv000294qhkf8jm
0t49gam7q9w29000tdtsw6pr8g,2000,5,0,5999,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,3999,60,5999,100,5999,10,24.951,150,0.0028257142857142344,0.0027999999999998187,0.0033599999999999854,0.001107764802267691,0.916715092363863,False,0t49gam7bxxtf000xq67jhc8rm,0t49fgtahnrvv000294qhkf8jm
0t49gnsgdsymb0001a1zt7xstm,2000,5,0,10,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,10,60,10,100,10,10,25.019,150,0.004504642857142826,0.004528571428571279,0.004840000000000089,0.0010726659521479805,0.46876050513246165,False,0t49gnsg3nzvb0004x9cpz3fbg,0t49fgtahnrvv000294qhkf8jm
0t49grc975sx10007cj3zznc5g,2000,5,0,5999,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,3999,60,10,4392,5999,10,25.122,150,0.19020214285714282,0.18969999999999995,0.17436000000000007,0.007295301814964628,5.7094178252225944,False,0t49grc8phxbv000ay5qh3tcnr,0t49fgtahnrvv000294qhkf8jm
0t49h2wbkhzdf000ksdm0sr984,2000,5,0,5999,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,3999,60,5999,5999,5999,10,29.517,150,0.1697667857142856,0.17002142857142846,0.17236000000000004,0.005558799789706849,2.530432621092781,False,0t49h2wbcnvzd000ppsaay7by4,0t49fgtahnrvv000294qhkf8jm
0t49hgbmbsy5n000mnjt1v8sgg,2000,5,0,10,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,10,60,10,3331,10,10,33.831,150,0.13123142857142867,0.13170000000000012,0.13091999999999984,0.004923703600223481,3.8672117985922303,False,0t49hgbm11xh3000nb07skz764,0t49fgtahnrvv000294qhkf8jm
0t49hm6x9dyfs000demv02e770,2000,5,0,5999,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,10,60,10,925,5999,10,37.189,150,0.06346000000000004,0.06393571428571423,0.06207999999999998,0.006314451355294461,1.2713959578175025,False,0t49hm6x0srxb000y5vk378hbc,0t49fgtahnrvv000294qhkf8jm
0t49hvss91w1b000587m5dg6r0,2000,5,0,10,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,3999,60,5999,5157,10,10,38.766,150,0.15920714285714305,0.15922142857142876,0.15768000000000001,0.0023443483929989945,2.992862098014554,False,0t49hvsr51t3v000c5384zzbcg,0t49fgtahnrvv000294qhkf8jm
0t49j48rchzx1000nvm62vzafg,2000,5,0,5999,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,3999,60,5999,2650,5999,10,42.726,150,0.14308571428571412,0.14345714285714298,0.13927999999999996,0.0024250815260870684,0.9245599165135095,False,0t49j48qz1xs9000g1vr5sc34w,0t49fgtahnrvv000294qhkf8jm
0t49jge4sxrgn000pej6t1621g,2000,5,0,10,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,10,60,5999,100,10,10,46.212,150,0.0014739285714284226,0.0022999999999999687,0.0013199999999997658,0.0008351646544243647,0.08020087361879562,False,0t49jge4gxy7h000pvgh0pn16r,0t49fgtahnrvv000294qhkf8jm
0t49jnbxkxrzd000bdtaxtta3r,2000,5,0,5999,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,10,60,10,3114,5999,10,46.239,150,0.182969642857143,0.18291428571428575,0.1772,0.009887066381521953,0.8426179919847225,False,0t49jnbxadv09000v15vaxrkq8,0t49fgtahnrvv000294qhkf8jm
0t49jxtbaxx3n0002g6kxt4z7c,2000,5,0,10,0,50,75,50,0,25,100,TDMAT_Campaign0009_02_GP,30,10,2000,3999,60,10,100,10,10,50.704,150,0.0011528571428571206,0.003919999999999391,0.0008400000000000318,0.0015144636014123598,0.21257090287429356,False,0t49jxtb0hz5n0001hd4szczpg,0t49fgtahnrvv000294qhkf8jm
