run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0t4vmnc911t6s0008z992t0swr,2000,5,0,9062,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,4045,3000,60,7528,5311,9062,10,77.039,150,0.11384750000000021,0.11417142857142945,0.11692000000000008,0.0027985783562953655,0.5653323997805141,True,,0t4x5q9khsssx000604vsbw908
0t4vn5z6hnvad000jfhvb043cm,2000,5,0,7725,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,2076,3000,60,17589,7525,7725,10,79.947,150,0.13033964285714297,0.13012857142857218,0.12183999999999968,0.018735277212920464,0.7704678933316941,True,,0t4x5q9khsssx000604vsbw908
0t4vnsh6yhtj3000h82665mvjr,2000,5,0,2171,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,1631,3000,60,5626,1607,2171,10,82.978,150,0.0889964285714284,0.0892000000000002,0.09364000000000033,0.01151626179427473,3.0395966180013345,True,,0t4x5q9khsssx000604vsbw908
0t4vp1kbjhzzd00002hwg9gd68,2000,5,0,7316,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,6592,3000,60,13427,8764,7316,10,85.29,150,0.1570246428571434,0.15824285714285732,0.15555999999999984,0.025007819185370244,4.45170500786269,True,,0t4x5q9khsssx000604vsbw908
0t4vpnf7ghy3s0001nmmvmhzvg,2000,5,0,6907,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,7481,3000,60,11010,6716,6907,10,89.149,150,0.16465392857142824,0.16570000000000004,0.16879999999999995,0.019680882674748438,2.955133164499164,True,,0t4x5q9khsssx000604vsbw908
0t4x5qa33dsmn000h3skq888d8,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_03_GP,30,10,9999,3000,60,19999,9999,10,10,291.14,150,0.10862749999999963,0.10912857142856833,0.11799999999999955,0.006138686291694705,1.203843186762768,False,0t4x5qa2qxyek000s0p3aztae0,0t4x5q9khsssx000604vsbw908
0t4x69vsbnwns000rf59zt3j70,2000,5,0,4499,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_03_GP,30,10,9999,3000,60,19999,9999,4499,10,294.01,150,0.11427249999999904,0.1143571428571428,0.11480000000000018,0.00760335586489328,1.358067143284694,False,0t4x69vr31v2k000852jykd06m,0t4x5q9khsssx000604vsbw908
0t4x6zxmr9xdh000b0v5c8x5ag,2000,5,0,19,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_03_GP,30,10,9999,3000,60,10,100,19,10,296.79,150,0.006691071428570337,0.00954999999999965,0.017200000000000274,0.0038445849364253364,0.19068303855420157,False,0t4x6zxmbnx0h000m1adw5fe3w,0t4x5q9khsssx000604vsbw908
0t4x76sxmhwbf000jjh4cjycdm,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_03_GP,30,10,100,3000,60,10,9999,9999,10,297.05,150,0.08083285714285689,0.08023571428571229,0.0759999999999991,0.007599681115758289,1.1107750359670356,False,0t4x76sx4dsrx0002n25nxj8t0,0t4x5q9khsssx000604vsbw908
0t4x7nfhghtqq000kz0gjnp29m,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_03_GP,30,10,100,3000,60,14417,100,10,10,298.9,150,-0.001820357142857176,0.007633333333349886,0.0020000000000004545,0.0047863231074557425,0.09348897081963954,False,0t4x7nfh49x71000ymxkv7dd9g,0t4x5q9khsssx000604vsbw908
