run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0tdsxswya9xsk000rzse2rwr7c,3596,12,0,2469,0,82,83,50,0,25,130,260318_TDMAT_Campaign0027,30,10,4041,4812,125,2744,4195,2469,203,0.20654,150,0.0729082142857143,0.0735,0.0846744,0.01129715514126075,7.82479500690928,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdsy4bnb9y7k0002s6mm6vzk0,1154,11,0,1558,0,68,72,50,0,25,297,260318_TDMAT_Campaign0027,30,10,921,2597,96,2295,4953,1558,222,2.3248,150,0.06386285714285714,0.06398571428571428,0.06555599999999999,0.011100312553054995,3.965009376681019,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdsyb6a29rks00024vydr8bz8,649,15,0,4236,0,47,37,50,0,25,275,260318_TDMAT_Campaign0027,30,10,1295,3124,167,7432,1586,4236,243,3.9909,150,0.0,0.0,0.0005720000000000169,1e-06,0.7764094913300236,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdsybgj1dv55000t28jjtz7n8,1770,12,0,3604,0,88,51,50,0,25,294,260318_TDMAT_Campaign0027,30,10,805,699,143,930,3436,3604,276,4.0025,150,0.07290285714285712,0.08299166666666673,0.06563599999999997,0.03505068849379258,2.318604410993759,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdsyj8jw5xj70004rnkz5fcy8,238,19,0,4206,0,37,92,50,0,25,100,260318_TDMAT_Campaign0027,30,10,4099,2098,281,5224,4554,4206,37,5.7763,150,0.1544185714285714,0.15380714285714284,0.15008,0.0031449424899837935,7.441199401206452,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdsywtt2nryn000ys92bzd2pg,3358,6,0,1080,0,80,72,50,0,25,223,260318_TDMAT_Campaign0027,30,10,3100,2473,79,6123,4097,1080,106,9.5577,150,0.0627289285714286,0.06265000000000003,0.059452,0.0034275668171044778,2.9915750280197297,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdsz63zdhxak00040zxpr00q4,2160,17,0,106,0,66,39,50,0,25,86,260318_TDMAT_Campaign0027,30,10,461,1994,52,9279,4048,106,204,11.083,150,0.08821000000000001,0.08798571428571426,0.08799999999999997,0.0019100699848277976,4.1042389659508824,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdsze5hx1rpz000gb6cd15drw,3678,2,0,3098,0,58,51,50,0,25,39,260318_TDMAT_Campaign0027,30,10,3490,2223,39,9639,126,3098,165,13.314,150,-0.0014589285714285208,0.004450000000000287,-0.00607999999999997,1e-06,0.32696490991517835,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdszs153hsk1000p3scxdjqr4,3358,5,0,1475,0,70,74,50,0,25,77,260318_TDMAT_Campaign0027,30,10,449,1514,31,7330,3373,1475,143,13.21,150,0.04750928571428571,0.0482857142857143,0.05151999999999994,0.00721762299047636,2.2297630638713875,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdt01d6qhrbx000r90v6my48m,1664,5,0,4260,0,44,79,50,0,25,158,260318_TDMAT_Campaign0027,30,10,1909,2761,30,8973,3110,4260,121,14.523,150,0.03966821428571424,0.039642857142857126,0.03652000000000001,0.00204020807262195,1.5377730192602137,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdt0cwf2hsfd000gh7hzcga4g,3099,8,0,2998,0,60,94,50,0,25,34,260318_TDMAT_Campaign0027,30,10,4175,1174,32,5671,2517,2998,58,15.454,150,0.08109142857142863,0.08127857142857156,0.08159999999999996,0.0014833256898073635,2.842403253644454,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdt0pny7dx39000vjjh5q16hg,808,15,0,1462,0,65,30,50,0,25,102,260318_TDMAT_Campaign0027,30,10,1538,2152,151,2730,535,1462,165,17.51,150,0.007434285714285644,0.030100000000000113,0.007680000000000007,0.022258681202822848,0.5735483349047559,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdt0vt871yz1000xnz59v3494,2528,19,0,19,0,88,78,50,0,25,283,260318_TDMAT_Campaign0027,30,10,911,3100,270,6428,2422,19,138,17.712,150,0.0,0.0,0.00019999999999996022,1e-06,0.09545635962141681,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdt0w46e5xmn000y05h6bhm00,587,4,0,139,0,74,60,50,0,25,59,260318_TDMAT_Campaign0027,30,10,545,2334,261,7746,3629,139,231,17.72,150,0.014939999999999946,0.015149999999999966,0.01700000000000003,0.0018294222351024777,0.7570896896668106,True,,0tdv8ge7ndve5000dygb2eq7p0
0tdt12zsjsyyh000vzjjm3n64w,2104,18,0,2688,0,58,81,50,0,25,118,260318_TDMAT_Campaign0027,30,10,1717,444,84,1643,4004,2688,204,18.18,150,0.08356464285714268,0.0837142857142855,0.08260000000000005,0.027183946342934768,2.4165915609681363,True,,0tdv8ge7ndve5000dygb2eq7p0
